id;capacity;motorbike_type_id
1;449;3
2;1170;3
3;652;3
4;652;3
5;652;3
6;652;3
7;652;3
8;652;3
9;652;3
10;652;1
11;652;4
12;652;1
13;652;3
14;652;3
15;652;3
16;652;3
17;652;3
18;798;3
19;798;3
20;798;3
21;798;3
22;798;3
23;652;3
24;652;3
25;652;1
26;652;3
27;652;3
28;798;3
29;652;3
30;652;3
31;652;3
32;798;3
33;798;3
34;798;3
35;798;3
36;798;3
37;798;3
38;798;3
39;798;3
40;853;3
41;853;3
42;853;3
43;853;3
44;853;3
45;853;3
46;853;3
47;853;3
48;798;3
49;798;3
50;798;3
51;798;3
52;798;3
53;798;3
54;798;3
55;798;3
56;798;3
57;798;3
58;798;3
59;798;3
60;798;3
61;798;3
62;798;3
63;798;3
64;798;3
65;798;3
66;798;3
67;798;3
68;798;3
69;798;3
70;798;3
71;798;3
72;798;6
73;798;6
74;798;6
75;798;6
76;798;6
77;798;6
78;798;6
79;798;5
80;798;4
81;798;4
82;798;4
83;798;4
84;798;4
85;798;4
86;798;4
87;798;4
88;798;1
89;798;1
90;798;1
91;798;5
92;798;5
93;798;1
94;798;6
95;798;6
96;798;6
97;798;6
98;798;6
99;798;6
100;853;3
101;853;3
102;853;3
103;853;3
104;853;3
105;853;3
106;853;3
107;853;3
108;853;3
109;853;3
110;853;3
111;853;3
112;895;5
113;895;5
114;895;5
115;895;5
116;895;5
117;652;3
118;652;3
119;798;5
120;798;5
121;798;6
122;798;6
123;313;3
124;313;3
125;313;3
126;313;5
127;313;5
128;313;5
129;313;3
130;313;3
131;313;4
132;313;4
133;313;5
134;313;5
135;313;5
136;449;3
137;449;3
138;449.5;3
139;449.5;3
140;652;3
141;652;3
142;652;3
143;652;3
144;652;3
145;652;3
146;652;3
147;652;3
148;652;3
149;652;3
150;652;3
151;652;3
152;652;3
153;652;3
154;652;3
155;652;3
156;652;3
157;652;7
158;652;7
159;652;3
160;652;7
161;652;7
162;1170;3
163;1130;3
164;1170;3
165;1130;7
166;1170;7
167;1170;7
168;1170;7
169;1170;7
170;1170;5
171;1170;5
172;1170;5
