model;year;horse_power;manufacturer_id
450 sports enduro;2008;49.6;1
concept lac rose;2017;110.0;1
f 650;1995;48.0;1
f 650;1996;48.0;1
f 650;1997;48.0;1
f 650;1998;48.0;1
f 650;1999;48.0;1
f 650;2000;48.0;1
f 650 cs;2003;50.0;1
f 650 cs;2004;50.0;1
f 650 cs;2005;49.6;1
f 650 cs scarver;2004;50.0;1
f 650 gs;2001;50.0;1
f 650 gs;2002;50.0;1
f 650 gs;2003;50.0;1
f 650 gs;2005;49.6;1
f 650 gs;2006;49.6;1
f 650 gs;2008;69.7;1
f 650 gs;2009;69.7;1
f 650 gs;2010;69.7;1
f 650 gs;2011;69.7;1
f 650 gs;2012;48.0;1
f 650 gs dakar;2001;50.0;1
f 650 gs dakar;2002;50.7;1
f 650 gs dakar;2004;50.0;1
f 650 gs dakar;2005;49.6;1
f 650 gs dakar;2006;49.6;1
f 650 gs se;2012;48.0;1
f 650 st;1997;48.0;1
f 650 st;1998;48.0;1
f 650 st strada;2000;48.0;1
f 700 gs;2013;73.8;1
f 700 gs;2014;75.0;1
f 700 gs;2015;75.0;1
f 700 gs;2016;75.0;1
f 700 gs;2017;75.0;1
f 700 gs;2018;75.0;1
f 700 gs rallye;2018;75.0;1
f 700 gs rallye ls;2018;75.0;1
f 750 gs;2018;77.0;1
f 750 gs;2019;77.0;1
f 750 gs;2020;77.0;1
f 750 gs;2021;77.0;1
f 750 gs;2022;77.0;1
f 750 gs edition 40 years gs;2021;77.0;1
f 750 gs sport;2018;77.0;1
f 750 gs sport;2021;77.0;1
f 800 gs;2008;84.5;1
f 800 gs;2009;84.5;1
f 800 gs;2010;84.5;1
f 800 gs;2011;84.5;1
f 800 gs;2012;48.0;1
f 800 gs;2013;84.5;1
f 800 gs;2014;84.5;1
f 800 gs;2015;85.0;1
f 800 gs;2016;85.0;1
f 800 gs;2017;85.0;1
f 800 gs;2018;85.0;1
f 800 gs adventure;2014;85.0;1
f 800 gs adventure;2015;85.0;1
f 800 gs adventure;2016;85.0;1
f 800 gs adventure;2017;85.0;1
f 800 gs adventure;2018;85.0;1
f 800 gs adventure te;2018;85.0;1
f 800 gs adventure travel;2014;85.0;1
f 800 gs blackline;2018;85.0;1
f 800 gs blackline ls;2018;85.0;1
f 800 gs triple black;2012;48.0;1
f 800 gs trophy;2012;48.0;1
f 800 gs trophy;2018;85.0;1
f 800 gs trophy ls;2018;85.0;1
f 800 gt;2013;90.0;1
f 800 gt;2014;90.0;1
f 800 gt;2015;90.0;1
f 800 gt;2016;90.0;1
f 800 gt;2017;90.0;1
f 800 gt;2018;90.0;1
f 800 gt;2019;90.0;1
f 800 r;2009;87.0;1
f 800 r;2010;85.8;1
f 800 r;2011;85.8;1
f 800 r;2012;85.8;1
f 800 r;2013;87.0;1
f 800 r;2014;87.0;1
f 800 r;2015;90.0;1
f 800 r;2016;90.0;1
f 800 r;2017;90.0;1
f 800 r;2018;90.0;1
f 800 r;2019;90.0;1
f 800 r sport;2018;90.0;1
f 800 s;2008;83.8;1
f 800 s;2009;83.8;1
f 800 s;2010;83.8;1
f 800 st;2008;83.8;1
f 800 st;2009;83.8;1
f 800 st;2010;83.8;1
f 800 st;2011;83.8;1
f 800 st;2012;83.8;1
f 800 st touring;2012;83.8;1
f 850 gs;2018;95.0;1
f 850 gs;2019;90.0;1
f 850 gs;2020;95.0;1
f 850 gs;2021;90.0;1
f 850 gs;2022;90.0;1
f 850 gs adventure;2019;95.0;1
f 850 gs adventure;2020;95.0;1
f 850 gs adventure;2021;90.0;1
f 850 gs adventure;2022;90.0;1
f 850 gs edition 40 years gs;2021;76.4;1
f 850 gs rallye;2021;90.0;1
f 850 gs sport;2018;95.0;1
f 900 r;2020;103.0;1
f 900 r;2022;99.0;1
f 900 xr;2020;103.0;1
f 900 xr;2021;103.0;1
f 900 xr;2022;99.0;1
f650gs;2007;50.0;1
f650gs dakar;2007;50.0;1
f800 s;2006;83.8;1
f800 s;2007;85.0;1
f800 st;2006;83.8;1
f800 st;2007;85.0;1
g 310 gs;2017;33.5;1
g 310 gs;2018;34.0;1
g 310 gs;2019;34.0;1
g 310 gs;2020;33.5;1
g 310 gs;2021;33.5;1
g 310 gs;2022;34.0;1
g 310 r;2016;;1
g 310 r;2017;34.0;1
g 310 r;2018;34.0;1
g 310 r;2019;34.0;1
g 310 r;2020;33.5;1
g 310 r;2021;33.5;1
g 310 r;2022;34.0;1
g 450 x;2008;;1
g 450 x;2009;;1
g 450 x;2010;40.2;1
g 450 x;2011;40.2;1
g 650 gs;2010;50.0;1
g 650 gs;2011;50.0;1
g 650 gs;2012;48.0;1
g 650 gs;2013;50.0;1
g 650 gs;2014;48.0;1
g 650 gs;2015;48.0;1
g 650 gs;2016;50.0;1
g 650 gs;2017;50.0;1
g 650 gs sertao;2012;48.0;1
g 650 gs sertao;2013;50.0;1
g 650 gs sertao;2014;50.0;1
g 650 gs sertao;2015;50.0;1
g 650 xchallenge;2008;52.3;1
g 650 xchallenge;2009;52.3;1
g 650 xcountry;2008;52.3;1
g 650 xcountry;2009;52.3;1
g 650 xcountry;2010;53.0;1
g 650 xmoto;2008;52.3;1
g 650 xmoto;2009;52.3;1
g650x challenge;2007;53.0;1
g650x country;2007;53.0;1
g650x moto;2007;53.0;1
hp2 enduro;2006;103.0;1
hp2 enduro;2007;105.0;1
hp2 enduro;2008;103.0;1
hp2 megamoto;2007;105.0;1
hp2 megamoto;2008;;1
hp2 megamoto;2009;;1
hp2 megamoto;2010;;1
hp2 megamoto;2011;111.0;1
hp2 rennboxer;2008;;1
hp2 sport;2008;131.0;1
hp2 sport;2009;;1
hp2 sport;2010;131.0;1
hp2 sport;2011;131.0;1
hp2 sport;2012;131.0;1
hp4;2013;193.0;1
hp4;2014;193.0;1
hp4;2015;190.0;1
hp4;2016;193.0;1
hp4 carbon;2014;193.0;1
hp4 carbon;2015;190.0;1
hp4 race;2018;215.0;1
hp4 race;2019;215.0;1
hp4 race prototype;2017;;1
k 1;1989;100.0;1
k 1;1990;100.0;1
k 1;1991;100.0;1
k 1;1992;100.0;1
k 100;1983;90.0;1
k 100;1984;90.0;1
k 100;1985;90.0;1
k 100;1986;90.0;1
k 100;1987;90.0;1
k 100;1988;90.0;1
k 100;1989;90.0;1
k 100 lt;1986;90.0;1
k 100 lt;1987;90.0;1
k 100 lt;1988;90.0;1
k 100 lt;1989;90.0;1
